District,Division,Area,Club,Clubname,Clubstatus,Clubcity,Clubstate,Clubzip,Clubcountry
50,E,11,5509,Twin Cities Club,Active,Texarkana,TX,75501,United States
50,E,11,7036,University Club,Active,Texarkana,TX,75501,United States
50,E,12,584009,Conquerors Club,Active,Barksdale AFB,LA,71110,United States
50,E,11,9682,200 Watt Speakers Club,Active,Shreveport,LA,71101,United States
50,E,11,1100434,Solid Rock,Active,Texarkana,TX,75501-6314,United States
,E11,5,,,,,,,
50,E,12,718,Shreveport Club,Active,Shreveport,LA,71101,United States
50,E,12,4819,Eagle Club,Active,Shreveport,LA,71106,United States
50,E,12,9790,Bossier Speakers,Active,Bossier City,LA,71111,United States
50,E,12,5069647,Tri-Community Toastmasters,Active,Doyline,LA,71023,United States
50,E,12,7575630,Oschner LSU Health Shreveport,Active,Shreveport,LA,71103-4228,United States
,E12,5,,,,,,,
50,E,13,2427,Garden Valley Toastmasters,Active,Lindale,TX,75771,United States
50,E,13,5719,Longview Toastmasters Club,Active,Longview,TX,75602,United States
50,E,13,1171849,SFG,Active,Big Sandy,TX,75755,United States
50,E,13,4801055,Longview Evening Toastmasters,Active,Longview,TX,75604-4000,United States
,,,7026351,Cooper Masterminds,Ineligible,Longview,TX,75601-3000,United States
50,E,13,7463287,Tyler Advanced Toasties,Active,Tyler,TX,75702-5836,United States
,E13,5,,,,,,,
50,E,14,4154,Tyler Morning Toastmasters Club,Active,Tyler,TX,75701,United States
50,E,14,7817,Tyler Evening Toastmasters Club,Active,Tyler,TX,75701,United States
50,E,14,7881,Rose Toasters Club,Active,Tyler,TX,75702,United States
50,E,14,1412885,Blueprint Toasters,Active,Tyler,TX,75702-5622,United States
50,E,14,7031829,Trane Tyler Toastmasters,Active,Tyler,TX,75707-1948,United States
,E14,5,,,,,,,
50,E,15,4182,Toastmasters of Rockwall Club,Active,Rockwall,TX,75087,United States
50,E,15,9354,Awesome Articulators,Active,Greenville,TX,75402,United States
50,E,15,1526701,Toastmasters of Terrell,Active,Terrell,TX,75160,United States
50,E,15,1535564,Speak EZ,Active,Greenville,TX,75402,United States
,E15,4,,,,,,,
50,E,16,9469,Bon Hams Toastmasters Club,Active,Bonham,TX,75418-3724,United States
50,E,16,9598,Creative Expressions Club,Active,McKinney,TX,75071-2813,United States
50,E,16,607240,High Noon Club,Active,Sherman,TX,75090,United States
50,E,16,3812934,McKinney Motivators,Active,McKinney,TX,75070-2908,United States
,,,7226925,Playful Masters,Active,McKinney,TX,75069,United States
,E16,4,,,,,,,
,Eastern,28,,,,,,,
,,,,,,,,,
50,F,21,4095,Park Central Toastmasters,Active,Plano,TX,75075,United States
50,F,21,8110,Premier Presenters,Ineligible,Plano,TX,75024,United States
50,F,21,942489,Toastronix Club,Active,Allen,TX,75013,United States
50,F,21,1581643,Speak Up Allen,Active,Allen,TX,75013,United States
50,F,21,6891000,RKT Toastmasters,Active,Allen,TX,75013,United States
,,,6989067,Carrington Speaks,Ineligible,Plano,TX,75024-6126,United States
,F21,5,,,,,,,
50,F,22,3074518,Shops At Legacy,Active,Plano,TX,75024,United States
50,F,22,3408653,Globe Life Toastmasters,Active,McKinney,TX,75070-5934,United States
50,F,22,5112712,Amazing Champions,Active,Plano,TX,75025,United States
50,F,22,6941603,Plano Splunk Toastmasters Club,Ineligible,Plano,TX,75024-3130,United States
50,F,22,7680560,Parkwood Pontificators,Active,Plano,TX,75024-7198,United States
,F22,5,,,,,,,
50,F,23,5042512,T Masters,Active,Frisco,TX,75034-4159,United States
50,F,23,5553533,Frisco Speaks Up,Active,Frisco,TX,75034,United States
50,F,23,7022029,CruiseMasters,Active,Plano,TX,75025-5834,United States
50,F,23,7479372,Confident Leaders Toastmasters,Active,Plano,TX,75024,United States
